String Identifier	English	Spanish	French	Chinese Simplified	Dutch	Italian	Russian	Korean	Hungarian	German	Slovak	Ukrainian	Vietnamese	Persian	Romanian	Portuguese	Finnish	Bulgarian	Indonesian	Turkish	Japanese	Czech	Catalan	Serbian	Norwegian Bokmål	Chinese Traditional	Hindi	Polish	Arabic	Swedish	Danish	Thai	Greek	Hebrew	Slovenian	Norwegian Nynorsk	Croatian	English (United Kingdom)	Malay	Armenian	Macedonian	Afrikaans	Tamil	Uzbek	Esperanto	Portuguese (Brazil)	Filipino / Tagalog	Kazakh	Belarusian (Belarus)	Albanian	Lithuanian	Latvian (Latvia)	Estonian	Azerbaijani	Icelandic (Iceland)	Swahili	Latin	Welsh (United Kingdom)	Telugu
osmium	Osmium	Osmio	Osmium	锇	Osmium	Osmio	Осмий	오스뮴	Ozmium	Osmium	Osmium	Осмій	Osmi	اسمیم	Osmiu	Ósmio	Osmium	Осмий	Osmium	Osmiyum	オスミウム	Osmium	Osmi	Осмијум	Osmium	鋨	अस्मियम	Osm	أوزميوم	Osmium	Osmium	ออสเมียม	Όσμιο	אוסמיום	Osmij	Osmium	Osmij	Osmium	Osmium	Օսմիում	Осмиум	Osmium	ஓசுமியம்	Osmiy	Osmio	Ósmio	Osmiyo	Осмий	Осмій	Osmium	Osmis	Osmijs	Osmium	Osmium	Osmín	Osmi	Osmium	Osmiwm	ఆస్మియం
iridium	Iridium	Iridio	Iridium	铱	Iridium	Iridio	Иридий	이리듐	Irídium	Iridium	Irídium	Іридій	Iridi	ایریدیم	Iridiu	Irídio	Iridium	Иридий	Iridium	Iridyum	イリジウム	Iridium	Iridi	Иридијум	Iridium	銥	इरिडियम	Iryd	إريديوم	Iridium	Iridium	อิริเดียม	Ιρίδιο	אירידיום	Iridij	Iridium	Iridij	Iridium	Iridium	Իրիդիում	Иридиум	Iridium	இரிடியம்	Iridiy	Iridio	Irídio	Iridyo	Иридий	Ірыдый	Iridiumi	Iridis	Irīdijs	Iriidium	İridium	Iridín	Iridi	Iridium	Iridiwm	ఇరీడియం
platinum	Platinum	Platino	Platine	铂	Platina	Platino	Платина	백금	Platina	Platin	Platina	Платина	Platin	پلاتین	Platină	Platina	Platina	Платина	Platina	Platin	白金	Platina	Platí	Платина	Platina	鉑	प्लाटिनम	Platyna	بلاتين	Platina	Platin	แพลทินัม	Λευκόχρυσος	פלטינה	Platina	Platina	Platina	Platinum	Platinum	Պլատին	Платина	Platinum	பிளாட்டினம்	Platina	Plateno	Platina	Platino	Платина	Плаціна	Platini	Platina	Platīns	Plaatina	Platin	Platína	Platini	Platinum	Platinwm	ప్లాటినం
gold	Gold	Oro	Or	金	Goud	Oro	Золото	금	Arany	Gold	Zlato	Золото	Vàng	طلا	Aur	Ouro	Kulta	Злато	Emas	Altın	金	Zlato	Or	Злато	Gull	金	सोना	Złoto	ذهب	Guld	Guld	ทองคำ	Χρυσός	זהב	Zlato	Gull	Zlato	Gold	Aurum	Ոսկի	Злато	Goud	தங்கம்	Oltin	Oro	Ouro	Ginto	Алтын	Золата	Ari	Auksas	Zelts	Kuld	Qızıl	Gull	Dhahabu	Aurum	Aur	బంగారం
mercury	Mercury	Mercurio	Mercure	汞	Kwik	Mercurio	Ртуть	수은	Higany	Quecksilber	Ortuť	Ртуть	Thủy ngân	جیوه	Mercur	Mercúrio	Elohopea	Живак	Raksa	Cıva	水銀	Rtuť	Mercuri	Жива	Kvikksølv	汞	पारा	Rtęć	زئبق	Kvicksilver	Kviksølv	ปรอท	Υδράργυρος	כספית	Živo Srebro	Kvikksølv	Živa	Mercury	Raksa	Սնդիկ	Жива	Kwik	பாதரசம்	Simob	Hidrargo	Mercúrio	Mercury	Сынап	Ртуць	Zhiva	Gyvsidabris	Dzīvsudrabs	Elavhõbe	Civə	Kvikasilfur	Zebaki	Hydrargyrum	Mercwri	పాదరసం
thallium	Thallium	Talio	Thallium	铊	Thallium	Tallio	Таллий	탈륨	Tallium	Thallium	Tálium	Талій	Tali	تالیم	Taliu	Tálio	Tallium	Талий	Talium	Talyum	タリウム	Thallium	Tal·li	Талијум	Thallium	鉈	थैलियम	Tal	ثاليوم	Tallium	Thallium	แทลเลียม	Θάλλιο	תליום	Talij	Thallium	Talij	Thallium	Talium	Թալիում	Талиум	Tallium	தாலியம்	Talliy	Talio	Tálio	Taliyo	Таллий	Талій	Tallium	Talis	Tallijs	Tallium	Tallium	Þallín	Tali	Thallium	Thaliwm	థాలియం
lead	Lead	Plomo	Plomb	铅	Lood	Piombo	Свинец	납	Ólom	Blei	Olovo	Свинець	Chì	سرب	Plumb	Chumbo	Lyijy	Олово	Timbal	Kurşun	鉛	Olovo	Plom	Олово	Bly	鉛	सीसा	Ołów	رصاص	Bly	Bly	ตะกั่ว	Μόλυβδος	עופרת	Svinec	Bly	Olovo	Lead	Plumbum	Կապար	Олово	Lood	ஈயம்	Qoʻrgʻoshin	Plumbo	Chumbo	Tingga	Қорғасын	Свінец	Plumbi	Švinas	Svins	Plii	Qurğuşun	Blý	Risasi	Plumbum	Plwm	సీసము (మూలకము)
bismuth	Bismuth	Bismuto	Bismuth	铋	Bismut	Bismuto	Висмут	비스무트	Bizmut	Bismut	Bizmut	Вісмут	Bitmut	بیسموت	Bismut	Bismuto	Vismutti	Бисмут	Bismut	Bizmut	ビスマス	Bismut	Bismut	Бизмут	Vismut	鉍	बिस्मथ	Bizmut	بزموت	Vismut	Bismuth	บิสมัท	Βισμούθιο	ביסמוט	Bizmut	Vismut	Bizmut	Bismuth	Bismut	Բիսմութ	Бизмут	Bismut	பிசுமத்	Vismut	Bismuto	Bismuto	Bismuto	Висмут	Вісмут	Bismuti	Bismutas	Bismuts	Vismut	Bismut	Bismút	Bismuthi	Bisemutum	Bismwth	బిస్మత్
polonium	Polonium	Polonio	Polonium	钋	Polonium	Polonio	Полоний	폴로늄	Polónium	Polonium	Polónium	Полоній	Poloni	پولونیم	Poloniu	Polónio	Polonium	Полоний	Polonium	Polonyum	ポロニウム	Polonium	Poloni	Полонијум	Polonium	釙	पोलोनियम	Polon	بولونيوم	Polonium	Polonium	พอโลเนียม	Πολώνιο	פולוניום	Polonij	Polonium	Polonij	Polonium	Polonium	Պոլոնիում	Полониум	Polonium	பொலோனியம்	Poloniy	Polonio	Polônio	Polonyo	Полоний	Палоній	Poloniumi	Polonis	Polonijs	Poloonium	Polonium	Pólon	Poloni	Polonium	Poloniwm	పొలోనియం
astatine	Astatine	Astato	Astate	砹	Astaat	Astato	Астат	아스타틴	Asztácium	Astat	Astát	Астат	Astatin	استاتین	Astatiniu	Ástato	Astatiini	Астатий	Astatin	Astatin	アスタチン	Astat	Àstat	Астат	Astat	砈	एस्टाटिन	Astat	أستاتين	Astat	Astat	แอสทาทีน	Άστατο	אסטטין	Astat	Astat	Astat	Astatine	Astatin	Աստատ	Астат	Astaat	அசுட்டட்டைன்	Astat	Astato	Ástato	Astatino	Астат	Астат	Astatine	Astatis	Astats	Astaat	Astat	Astat	Astatini	Astatium	Astatin	ఆస్టాటైన్
