String Identifier	English	Spanish	French	Chinese Simplified	Dutch	Italian	Russian	Korean	Hungarian	German	Slovak	Ukrainian	Vietnamese	Persian	Romanian	Portuguese	Finnish	Bulgarian	Indonesian	Turkish	Japanese	Czech	Catalan	Serbian	Norwegian Bokmål	Chinese Traditional	Hindi	Polish	Arabic	Swedish	Danish	Thai	Greek	Hebrew	Slovenian	Norwegian Nynorsk	Croatian	English (United Kingdom)	Malay	Armenian	Macedonian	Afrikaans	Tamil	Uzbek	Esperanto	Portuguese (Brazil)	Filipino / Tagalog	Kazakh	Belarusian (Belarus)	Albanian	Lithuanian	Latvian (Latvia)	Estonian	Azerbaijani	Icelandic (Iceland)	Swahili	Latin	Welsh (United Kingdom)	Telugu
curium	Curium	Curio	Curium	锔	Curium	Curio	Кюрий	퀴륨	Kűrium	Curium	Curium	Кюрій	Curi	کوریم	Curiu	Cúrio	Curium	Кюрий	Curium	Kuriyum	キュリウム	Curium	Curi	Киријум	Curium	鋦	क्यूरियम	Kiur	كوريوم	Curium	Curium	คูเรียม	Κιούριο	קיריום	Kirij	Curium	Kurij	Curium	Kurium	Կյուրիում	Кириум	Curium	கியூரியம்	Kyuriy	Kuriumo	Cúrio	Curyo	Кюрий	Кюрый	Curium	Kiuris	Kirijs	Kuurium	Kürium	Kúrín	Curi	Curium	Curiwm	క్యూరియం
berkelium	Berkelium	Berkelio	Berkélium	锫	Berkelium	Berkelio	Берклий	버클륨	Berkélium	Berkelium	Berkélium	Берклій	Berkeli	برکلیم	Berkeliu	Berquélio	Berkelium	Берклий	Berkelium	Berkelyum	バークリウム	Berkelium	Berkeli	Берклијум	Berkelium	錇	बर्केलियम	Berkel	بركليوم	Berkelium	Berkelium	เบอร์คีเลียม	Μπερκέλιο	ברקליום	Berkelij	Berkelium	Berkelij	Berkelium	Berkelium	Բերկլիում	Берклиум	Berkelium	பெர்க்கிலியம்	Berkliy	Berkelio	Berquélio	Berkelyo	Берклий	Берклій	Berkelium	Berklis	Berklijs	Berkeelium	Berklium	Berkelín	Berkeli	Berkelium	Berkeliwm	బెర్కీలియం
californium	Californium	Californio	Californium	锎	Californium	Californio	Калифорний	캘리포늄	Kalifornium	Californium	Kalifornium	Каліфорній	Californi	کالیفرنیم	Californiu	Califórnio	Kalifornium	Калифорний	Kalifornium	Kaliforniyum	カリホルニウム	Kalifornium	Californi	Калифорнијум	Californium	鐦	कैलीफोर्नियम	Kaliforn	كاليفورنيوم	Californium	Californium	แคลิฟอร์เนียม	Καλιφόρνιο	קליפורניום	Kalifornij	Californium	Kalifornij	Californium	Kalifornium	Կալիֆորնիում	Калифорниум	Kalifornium	கலிபோர்னியம்	Kaliforniy	Kaliforniumo	Califórnio	Kalipornyo	Калифорний	Каліфорній	Kalifornium	Kalifornis	Kalifornijs	Kalifornium	Kalifornium	Kalifornín	Kalifoni	Californium	Califforniwm	కాలిఫోర్నియం
einsteinium	Einsteinium	Einstenio	Einsteinium	锿	Einsteinium	Einsteinio	Эйнштейний	아인슈타이늄	Einsteinium	Einsteinium	Einsteinium	Ейнштейній	Einsteini	اینشتینیم	Einsteiniu	Einsténio	Einsteinium	Айнщайний	Einsteinium	Aynştaynyum	アインスタイニウム	Einsteinium	Einsteini	Ајнштајнијум	Einsteinium	鎄	कैलीफोर्नियम	Einstein	أينشتاينيوم	Einsteinium	Einsteinium	ไอน์สไตเนียม	Αϊνσταΐνιο	איינשטייניום	Ajnštajnij	Einsteinium	Ajnštajnij	Einsteinium	Einsteinium	Էյնշտեյնիում	Ајнштајниум	Einsteinium	ஐன்ஸ்டைனியம்	Eynshteyniy	Ejnŝtejnio	Einsténio	Einsteinyo	Эйнштейний	Эйнштэйній	Einsteinium	Einšteinis	Einšteinijs	Einsteinium	Eynşteynium	Einsteinín	Einsteini	Einsteinium	Einsteiniwm	ఐన్‌స్టీనియం
fermium	Fermium	Fermio	Fermium	镄	Fermium	Fermio	Фермий	페르뮴	Fermium	Fermium	Fermium	Фермій	Fermi	فرمیم	Fermiu	Férmio	Fermium	Фермий	Fermium	Fermiyum	フェルミウム	Fermium	Fermi	Фермијум	Fermium	鐨	फर्मियम	Ferm	فرميوم	Fermium	Fermium	เฟอร์เมียม	Φέρμιο	פרמיום	Fermij	Fermium	Fermij	Fermium	Fermium	Ֆերմիում	Фермиум	Fermium	பெர்மியம்	Fermiy	Fermio	Férmio	Fermyo	Фермий	Фермій	Fermium	Fermis	Fermijs	Fermium	Fermium	Fermín	Fermi	Fermium	Ffermiwm	ఫెర్మియం
mendelevium	Mendelevium	Mendelevio	Mendélévium	钔	Mendelevium	Mendelevio	Менделевий	멘델레븀	Mendelévium	Mendelevium	Mendelevium	Менделєвій	Mendelevi	مندلیم	Mendeleeviu	Mendelévio	Mendelevium	Менделевий	Mendelevium	Mendelyum	メンデレビウム	Mendelevium	Mendelevi	Мендељевијум	Mendelevium	鍆	मेण्डेलीवियम	Mendelew	مندليفيوم	Mendelevium	Mendelevium	เมนเดลีเวียม	Μεντελέβιο	מנדלביום	Mendelevij	Mendelevium	Mendelevij	Mendelevium	Mendelevium	Մենդելեվիում	Менделевиум	Mendelevium	மெண்டலீவியம்	Mendeleviy	Mendelevio	Mendelévio	Mendelebyo	Менделевий	Мендзялевій	Mendelevium	Mendelevis	Mendelevijs	Mendeleevium	Mendelevium	Mendelevín	Mendelevi	Mendelevium	Mendelefiwm	మెండలీవియం
nobelium	Nobelium	Nobelio	Nobélium	锘	Nobelium	Nobelio	Нобелий	노벨륨	Nobélium	Nobelium	Nobelium	Нобелій	Nobeli	نوبلیم	Nobeliu	Nobélio	Nobelium	Нобелий	Nobelium	Nobelyum	ノーベリウム	Nobelium	Nobeli	Нобелијум	Nobelium	鍩	नोबेलियम	Nobel	نوبليوم	Nobelium	Nobelium	โนเบเลียม	Νομπέλιο	נובליום	Nobelij	Nobelium	Nobelij	Nobelium	Nobelium	Նոբելիում	Нобелиум	Nobelium	நொபிலியம்	Nobeliy	Nobelio	Nobélio	Nobelyo	Нобелий	Набелій	Nobelium	Nobelis	Nobēlijs	Nobeelium	Nobelium	Nobelín	Nobeli	Nobelium	Nobeliwm	నోబెలీమియం
lawrencium	Lawrencium	Laurencio	Lawrencium	铹	Lawrencium	Laurenzio	Лоуренсий	로렌슘	Laurencium	Lawrencium	Lawrencium	Лоуренсій	Lawrenci	لاورانسیم	Lawrențiu	Laurêncio	Lawrencium	Лоуренсий	Lawrensium	Lavrensiyum	ローレンシウム	Lawrencium	Lawrenci	Лоренцијум	Lawrencium	鐒	लॉरेंशियम	Lorens	لورنسيوم	Lawrencium	Lawrencium	ลอว์เรนเซียม	Λωρένσιο	לורנציום	Lavrencij	Lawrencium	Lorensij	Lawrencium	Lawrensium	Լոուրենսիում	Лоренциум	Lawrensium	இலாரென்சியம்	Lourensiy	Laŭrencio	Laurêncio	Lawrensyo	Лоуренсий	Лаўрэнсій	Lawrencium	Laurencis	Lourensijs	Lavrentsium	Lourensium	Lawrensín	Lawirensi	Lawrencium	Lawrenciwm	లారెన్షియం
rutherfordium	Rutherfordium	Rutherfordio	Rutherfordium	𬬻	Rutherfordium	Rutherfordio	Резерфордий	러더포듐	Radzerfordium	Rutherfordium	Rutherfordium	Резерфордій	Rutherfordi	رادرفوردیم	Rutherfordiu	Rutherfórdio	Rutherfordium	Ръдърфордий	Rutherfordium	Rutherfordium	ラザホージウム	Rutherfordium	Rutherfordi	Радерфордијум	Rutherfordium	鑪	रुथरफोर्डियम	Rutherford	رذرفورديوم	Rutherfordium	Rutherfordium	รัทเทอร์ฟอร์เดียม	Ραδερφόρντιο	רתרפורדיום	Raderfordij	Rutherfordium	Raderfordij	Rutherfordium	Rutherfordium	Ռեզերֆորդիում	Радерфордиум	Rutherfordium	இரதர்ஃபோர்டியம்	Rezerfordiy	Ruterfordio	Rutherfórdio	Ruterpordyo	Резерфордий	Рэзерфордый	Rutherfordium	Ruterfordis	Rezerfordijs	Rutherfordium	Rezerfordium	Rutherfordín	Rutherfordi	Rutherfordium	Rutherfordiwm	రూథర్ఫోర్డియం
dubnium	Dubnium	Dubnio	Dubnium	𬭊	Dubnium	Dubnio	Дубний	더브늄	Dubnium	Dubnium	Dubnium	Дубній	Dubni	دابنیم	Dubniu	Dúbnio	Dubnium	Дубний	Dubnium	Dubnium	ドブニウム	Dubnium	Dubni	Дубнијум	Dubnium	𨧀	डब्नियम	Dubn	دوبنيوم	Dubnium	Dubnium	ดุบเนียม	Ντούμπνιο	דובניום	Dubnij	Dubnium	Dubnij	Dubnium	Dubnium	Դուբնիում	Дубниум	Dubnium	தூப்னியம்	Dubniy	Dubnio	Dúbnio	Dubyo	Дубний	Дубній	Dubnium	Dubnis	Dubnijs	Dubnium	Dubnium	Dubnín	Dubni	Dubnium	Dubniwm	డుబ్నియం
seaborgium	Seaborgium	Seaborgio	Seaborgium	𬭳	Seaborgium	Seaborgio	Сиборгий	시보귬	Sziborgium	Seaborgium	Seaborgium	Сіборгій	Seaborgi	سیبورگیم	Seaborgiu	Seabórgio	Seaborgium	Сиборгий	Seaborgium	Seaborgium	シーボーギウム	Seaborgium	Seaborgi	Сиборгијум	Seaborgium	𨭎	सीबोर्गियम	Seaborg	سيبورجيوم	Seaborgium	Seaborgium	ซีบอร์เกียม	Σιμπόργκιο	סיבורגיום	Siborgij	Seaborgium	Siborgij	Seaborgium	Seaborgium	Սիբորգիում	Сиборгиум	Seaborgium	சீபோர்கியம்	Siborgiy	Seborgio	Seabórgio	Seaborgyo	Сиборгий	Сіборгій	Seaborgium	Syborgis	Sīborgijs	Seaborgium	Seaborgium	Seborgín	Seaborgi	Seaborgium	Seaborgiwm	సియాబోర్గియం
bohrium	Bohrium	Bohrio	Bohrium	𬭛	Bohrium	Bohrio	Борий	보륨	Borium	Bohrium	Bohrium	Борій	Bohri	بوریم	Bohriu	Bóhrio	Bohrium	Борий	Bohrium	Bohrium	ボーリウム	Bohrium	Bohri	Боријум	Bohrium	𨨏	बोरियम	Bohr	بوريوم	Bohrium	Bohrium	โบห์เรียม	Μπόριο	בוהריום	Borij	Bohrium	Borij	Bohrium	Bohrium	Բորիում	Бориум	Bohrium	போரியம்	Boriy	Borio	Bóhrio	Boryo	Борий	Борый	Bohrium	Boris	Borijs	Bohrium	Borium	Bohrín	Bohri	Bohrium	Bohriwm	బోరియం
hassium	Hassium	Hassio	Hassium	𬭶	Hassium	Hassio	Хассий	하슘	Hasszium	Hassium	Hassium	Гасій	Hassi	هاسیم	Hassiu	Hássio	Hassium	Хасий	Hassium	Hassium	ハッシウム	Hassium	Hassi	Хасијум	Hassium	𨭆	हसियम	Has	هاسيوم	Hassium	Hassium	ฮัสเซียม	Χάσιο	האסיום	Hasij	Hassium	Hasij	Hassium	Hassium	Հասիում	Хасиум	Hassium	ஆசியம்	Xassiy	Hasio	Hássio	Hasyo	Хассий	Хасій	Hassium	Hasis	Hassijs	Hassium	Hassium	Hassín	Hassi	Hassium	Hassiwm	హాసియం
meitnerium	Meitnerium	Meitnerio	Meitnérium	鿏	Meitnerium	Meitnerio	Мейтнерий	마이트너륨	Meitnerium	Meitnerium	Meitnerium	Майтнерій	Meitneri	مایتنریم	Meitneriu	Meitnério	Meitnerium	Майтнерий	Meitnerium	Meitnerium	マイトネリウム	Meitnerium	Meitneri	Митнеријум	Meitnerium	䥑	मेइट्नेरियम	Meitner	مايتنريوم	Meitnerium	Meitnerium	ไมต์เนเรียม	Μαϊτνέριο	מייטנריום	Majtnerij	Meitnerium	Majtnerij	Meitnerium	Meitnerium	Մայտներիում	Мајтнериум	Meitnerium	மெய்ட்னீரியம்	Meytneriy	Mejtnerio	Meitnério	Meitneryo	Мейтнерий	Мейтнерый	Meitnerium	Meitneris	Meitnērijs	Meitneerium	Meitnerium	Meitnerín	Meitneri	Meitnerium	Meitneriwm	మీట్నీరియం
darmstadtium	Darmstadtium	Darmstadtio	Darmstadtium	𫟼	Darmstadtium	Darmstadtio	Дармштадтий	다름슈타튬	Darmstadtium	Darmstadtium	Darmstadtium	Дармштадтій	Darmstadti	دارمشتادیم	Darmstadtiu	Darmstácio	Darmstadtium	Дармщадтий	Darmstadtium	Darmstadtiyum	ダームスタチウム	Darmstadtium	Darmstadti	Дармштатијум	Darmstadtium	鐽	डार्म्स्टेडशियम	Darmsztadt	دارمشتاتيوم	Darmstadtium	Darmstadtium	ดาร์มสตัดเทียม	Νταρμστάντιο	דרמשטטיום	Darmštatij	Darmstadtium	Darmštatij	Darmstadtium	Darmstadtium	Դարմշտադտիում	Дармштатиум	Darmstadtium	டார்ம்சிட்டாட்டியம்	Darmshtadtiy	Darmŝtatio	Darmstácio	Darmstadtyo	Дармштадтий	Дармштатый	Darmstadtium	Darmstadtis	Darmštatijs	Darmstadtium	Darmstadtium	Darmstadtín	Darmstadti	Darmstadtium	Darmstadtiwm	డామ్‌స్టాటియం
roentgenium	Roentgenium	Roentgenio	Roentgenium	𬬭	Röntgenium	Roentgenio	Рентгений	뢴트게늄	Röntgenium	Roentgenium	Roentgenium	Рентгеній	Roentgeni	رونتگنیوم	Roentgeniu	Roentgénio	Röntgenium	Рьонтгений	Roentgenium	Röntgenyum	レントゲニウム	Roentgenium	Roentgeni	Рендгенијум	Røntgenium	錀	रॉन्टजैनियम	Roentgen	رونتجينيوم	Röntgenium	Røntgenium	เรินต์เกเนียม	Ρεντγκένιο	רנטגניום	Rentgenij	Roentgenium	Roentgenij	Roentgenium	Roentgenium	Ռենտգենիում	Рентгениум	Roentgenium	இரோயன்ட்கெனியம்	Rentgeniy	Rentgenio	Roentgênio	Roentgenyo	Рентгений	Рэнтгеній	Roentgenium	Rentgenis	Rentgenijs	Röntgeenium	Rentgenium	Röntgenín	Roentgeni	Roentgenium	Roentgeniwm	రోయెంట్‌జీనియం
copernicium	Copernicium	Copernicio	Copernicium	鿔	Copernicium	Copernicio	Коперниций	코페르니슘	Kopernícium	Copernicium	Copernicium	Коперницій	Copernixi	کوپسیم	Coperniciu	Copernício	Kopernikium	Коперниций	Kopernisium	Kopernikyum	コペルニシウム	Kopernicium	Copernici	Коперницијум	Copernicium	鎶	कोपरनिसियम	Kopernik	كوبرنيسيوم	Copernicium	Copernicium	โคเปอร์นิเซียม	Κοπερνίκιο	קופרניקיום	Kopernicij	Copernicium	Kopernicij	Copernicium	Kopernisium	Կոպեռնիցիում	Копернициум	Copernicium	கோப்பர்நீசியம்	Kopernitsiy	Kopernicio	Copernício	Koperniko	Коперниций	Каперніцый	Coperniciumi	Koperniumas	Kopernikijs	Koperniikium	Copernicium	Kópernikín	Kopernici	Copernicium	Coperniciwm	కోపర్నిషియం
nihonium	Nihonium	Nihonio	Nihonium	鿭	Nihonium	Nihonio	Нихоний	니호늄	Nihonium	Nihonium	Nihonium	Ніхоній	Nihoni	نیهونیوم	Nihoniu	Niônio	Nihonium	Нихоний	Nihonium	Nihoniyum	ニホニウム	Nihonium	Nihoni	Нихонијум	Nihonium	鉨	निहोनियम	Nihonium	نيهونيوم	Nihonium	Nihonium	นิโฮเนียม	Νιχόνιο	ניהוניום	Nihonij	Nihonium	Nihonij	Nihonium	Nihonium	Նիհոնիում	Нихониум	Nihonium	நிகோனியம்	Nihoniy	Nihonio	Niônio	Nihonyo	Нихоний	Ніхоній	Nihoniumi	Nihonis	Nihonijs	Nihoonium	Nihonium	Níhonín	Nihoni	Nihonium	Nihoniwm	ఉనున్‌ట్రియం
flerovium	Flerovium	Flerovio	Flérovium	𫓧	Flerovium	Flerovio	Флеровий	플레로븀	Flerovium	Flerovium	Flerovium	Флеровій	Flerovi	فلرویوم	Fleroviu	Fleróvio	Flerovium	Флеровий	Flerovium	Flerovyum	フレロビウム	Flerovium	Flerovi	Флеровијум	Flerovium	鈇	उनउनक्वाडियम	Flerow	فليروفيوم	Flerovium	Flerovium	ฟลีโรเวียม	Φλερόβιο	פלרוביום	Flerovij	Flerovium	Flerovij	Flerovium	Flerovium	Ֆլերովիում	Флеровиум	Flerovium	பிளெரோவியம்	Fleroviy	Flerovio	Fleróvio	Plerobyo	Флеровий	Флеровій	Fleroviumi	Flerovijus	Flerovijs	Fleroovium	Flörovium	Fleróvín	Flerovi	Flerovium	Fflerofiwm	ఉనున్‌క్వేడియం
moscovium	Moscovium	Moscovio	Moscovium	镆	Moscovium	Moscovio	Московий	모스코븀	Moszkovium	Moscovium	Moscovium	Московій	Moscovi	موسکوویوم	Moscoviu	Moscóvio	Moskovium	Московий	Moskovium	Moscoviyum	モスコビウム	Moscovium	Moscovi	Московијум	Moscovium	鏌	मोस्कोवियम	Moscovium	موسكوفيوم	Moscovium	Moscovium	มอสโกเวียม	Μοσκόβιο	מוסקוביום	Moskovij	Moscovium	Moskovij	Moscovium	Moscovium	Մոսկովիում	Московиум	Moskovium	மாசுக்கோவியம்	Moscoviy	Moskovio	Moscóvio		Московий	Ліверморый	Moscoviumi	Moskovis	Maskavijs	Moskoovium	Moskovium	Moskóvín	Moskovi	Moscovium	Moscofiwm	ఉనున్‌పెంటియం
livermorium	Livermorium	Livermorio	Livermorium	𫟷	Livermorium	Livermorio	Ливерморий	리버모륨	Livermorium	Livermorium	Livermorium	Ліверморій	Livermori	لایوموریوم	Livermoriu	Livermório	Livermorium	Ливерморий	Livermorium	Livermoryum	リバモリウム	Livermorium	Livermori	Ливерморијум	Livermorium	鉝	लिवरमोरियम	Liwermor	ليفرموريوم	Livermorium	Livermorium	ลิเวอร์มอเรียม	Λιβερμόριο	ליברמוריום	Livermorij	Livermorium	Livermorij	Livermorium	Livermorium	Լիվերմորիում	Ливермориум	Livermorium	லிவர்மோரியம்	Livermoriy	Livermorio	Livermório	Livermoryo	Ливерморий	Флеровій	Livermoriumi	Livermorijus	Livermorijs	Livermoorium	Livermorium	Livermorín	Livermori	Livermorium	Lifermoriwm	ఉనున్‌హెక్సియం
tennessine	Tennessine	Téneso	Tennesse	鿬	Tennessine	Tennessinio	Теннессин	테네신	Tennessine	Tennessine	Tennessine	Теннессин	Tennessine	تنسینه	Tennessin	Tenessínio	Tennessiini	Тенесин	Tenesin	Tennessine	テネシン	Tennessine	Tennès	Тенесин	Tenness	鿬	टेनिसीन	Tennessine	تينيسين	Tenness	Tennessine	เทนเนสซีน	Τενέσιο	טנסין	Tenesin	Tenness	Tenesin	Tennessine	Tennessin	Թենեսսին	Тенесин	Tennessien	தென்னிசீன்	Tenness	Teneso	Tenessínio	Teneso	Теннессин	Тэнэсін	Tennessi	Tenesinas	Tenesīns	Tennessiin	Tennessin	Tennessín	Tennessini	Tennessine	Tenesin	ఉనున్‌సెప్టియం
oganesson	Oganesson	Oganesón	Oganesson	鿫	Oganesson	Oganesson	Оганесон	오가네손	Oganesson	Oganesson	Oganesson	Оганесон	Oganesson	اوگانسون	Oganessiu	Oganessão	Oganesson	Оганесон	Oganeson	Oganeson	オガネソン	Oganesson	Oganessó	Оганесон	Oganesson	鿫	ओगनेसॉन	Oganesson	أوغانيسون	Oganesson	Oganesson	ออกาเนสซอน	Ογκανέσσιο	אוגאנסון	Oganeson	Oganesson	Oganeson	Oganesson	Oganesson	Օգանեսոն	Оганесон	Oganesson	ஒகனிசோன்	Oganesson	Oganesono	Oganessônio	Oganeso	Оганесон	Аганесон	Oganessoni	Oganesonas	Oganesons	Oganessoon	Oqaneson	Oganesson	Oganessoni	Oganesson	Oganeson	ఉనున్‌ఆక్టియం
